Log Time,Received Time,picoamps,ppm,pa offset,sample pressure,sample PPL,combustion pressure,combustion PPL,lph2,hph2,vac,internal temp.,external temp.,case temp.,needle valve,heater,glow plug,solenoid,battery status,battery charge,volts,current,is ignited,p1 tgt,p2 tgt,h2 tgt,altimeter,reporting status,message
07/30/2025 06:32:12.000-06:00,06:32:12.000-06:00,-22.03,0.00,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Discharging,92,8.057,N/A,True,N/A,N/A,N/A,N/A,Enabled[1000]: Drive Levels FID Readings,Cal 5.0.405.66
07/30/2025 06:32:13.000-06:00,06:32:13.000-06:00,-21.91,0.00,0.0,0.5630,27.95,0.9961,18.6,0.6455,1124,-0.5529,180.6,25.0,23.6,17,0.0000,0,1,Discharging,92,8.06,0.396,True,0.56,1.00,0.649,1281.73,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:14.000-06:00,06:32:14.000-06:00,-21.84,0.00,0.0,0.5635,27.88,0.9966,18.58,0.6461,1137,-0.5529,180.3,25.0,23.6,17,0.0000,0,1,Discharging,92,8.06,0.393,True,0.56,1.00,0.649,1281.83,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:15.000-06:00,06:32:15.000-06:00,-22.07,0.00,0.0,0.5635,27.96,0.9966,18.68,0.6461,1132,-0.5529,180.6,25.0,23.6,17,0.0000,0,1,Discharging,92,8.06,0.394,True,0.56,1.00,0.649,1281.51,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:16.000-06:00,06:32:16.000-06:00,-22.14,0.00,0.0,0.5640,27.93,0.9966,18.66,0.6461,1129,-0.5529,180.6,25.0,23.6,17,0.0000,0,1,Discharging,92,8.06,0.391,True,0.56,1.00,0.649,1282.11,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:17.000-06:00,06:32:17.000-06:00,-21.64,0.00,0.0,0.5630,27.94,0.9961,18.66,0.6461,1097,-0.5529,180.6,25.0,23.6,17,0.0000,0,1,Discharging,92,8.06,0.398,True,0.56,1.00,0.649,1282.17,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:18.000-06:00,06:32:18.000-06:00,-21.46,0.00,0.0,0.5635,27.92,0.9966,18.6,0.6461,1116,-0.5529,180.6,25.0,23.6,17,0.0000,0,1,Discharging,92,8.06,0.395,True,0.56,1.00,0.649,1282.02,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:19.000-06:00,06:32:19.000-06:00,-21.64,0.00,0.0,0.5635,27.96,0.9966,18.65,0.6461,1109,-0.5529,180.9,25.0,23.6,17,0.0000,0,1,Discharging,92,8.06,0.398,True,0.56,1.00,0.649,1282.21,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:20.000-06:00,06:32:20.000-06:00,-21.89,0.00,0.0,0.5635,27.94,0.9956,18.61,0.6455,1102,-0.5529,180.6,25.0,23.6,14,0.0000,0,1,Discharging,92,8.06,0.398,True,0.56,1.00,0.649,1282.21,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:21.000-06:00,06:32:21.000-06:00,-21.99,0.00,0.0,0.5635,27.94,0.9971,18.66,0.6461,1102,-0.5529,180.6,25.0,23.6,14,0.0000,0,1,Discharging,92,8.06,0.395,True,0.56,1.00,0.649,1282.17,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:22.000-06:00,06:32:22.000-06:00,-21.80,0.00,0.0,0.5645,27.88,0.9971,18.66,0.6461,1100,-0.5529,180.9,25.0,23.7,14,0.0000,0,1,Discharging,92,8.06,0.395,True,0.56,1.00,0.649,1282.41,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:23.000-06:00,06:32:23.000-06:00,-21.68,0.00,0.0,0.5640,27.98,0.9971,18.66,0.6461,1139,-0.5529,180.6,25.0,23.6,14,0.0000,0,1,Discharging,92,8.06,0.394,True,0.56,1.00,0.649,1282.34,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:25.000-06:00,06:32:24.000-06:00,-22.00,0.00,0.0,0.5635,27.95,0.9966,18.63,0.6455,1129,-0.5529,180.9,25.0,23.7,14,0.0000,0,1,Discharging,92,8.06,0.397,True,0.56,1.00,0.649,1282.43,Enabled[1000]: Drive Levels FID Readings,Initializing Self-Check for phx42-1974
07/30/2025 06:32:26.000-06:00,06:32:25.000-06:00,-23.92,0.00,0.0,0.1439,0,0.2742,0,0.6305,1031,-0.1682,174.8,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.171,True,0.56,1.00,0.649,1282.17,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:27.000-06:00,06:32:26.000-06:00,-26.24,0.00,0.0,0.0296,0,0.0499,0,0.5765,1072,-0.0382,160.5,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.173,True,0.56,1.00,0.649,1282.14,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:28.000-06:00,06:32:27.000-06:00,-26.61,0.00,0.0,0.0145,0,0.0187,0,0.4347,1036,-0.0204,147.7,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.169,True,0.56,1.00,0.649,1282.27,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:29.000-06:00,06:32:28.000-06:00,-26.57,0.00,0.0,0.0125,0,0.0151,0,0.3329,1063,-0.0153,136.0,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.171,True,0.56,1.00,0.649,1281.85,Enabled[1000]: Drive Levels FID Readings,Self check initialized, using 0.171 as baseline for current
07/30/2025 06:32:30.000-06:00,06:32:29.000-06:00,-26.88,0.00,0.0,0.0119,0,0.0140,0,0.2592,1041,-0.0153,125.8,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.168,True,0.56,1.00,0.649,1282.34,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:31.000-06:00,06:32:30.000-06:00,-26.81,0.00,0.0,0.0119,0,0.0140,0,0.2057,1027,-0.0153,117.0,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.167,True,0.56,1.00,0.649,1282.65,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:32.000-06:00,06:32:31.000-06:00,-26.50,0.00,0.0,0.0109,0,0.0135,0,0.1662,1074,-0.0153,109.2,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.170,True,0.56,1.00,0.649,1282.41,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:33.000-06:00,06:32:32.000-06:00,-26.18,0.00,0.0,0.0114,0,0.0140,0,0.1355,1068,-0.0153,102.5,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.171,True,0.56,1.00,0.649,1281.90,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:34.000-06:00,06:32:33.000-06:00,-26.02,-100.00,0.0,0.0114,0,0.0140,0,0.1132,1077,-0.0153,96.5,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.171,False,0.56,1.00,0.649,1281.80,Enabled[1000]: Drive Levels FID Readings,Running step Updating unit settings
07/30/2025 06:32:35.000-06:00,06:32:34.000-06:00,-26.20,-100.00,0.0,0.0114,0,0.0140,0,0.0950,1045,-0.0153,91.4,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.171,False,0.56,1.00,0.649,1281.76,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:36.000-06:00,06:32:35.000-06:00,-26.48,-100.00,0.0,0.0114,0,0.0135,0,0.0810,954,-0.0153,86.8,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.165,False,0.56,1.00,0.649,1281.92,Enabled[1000]: Drive Levels FID Readings,Received SampleClcParams: {Target:0.56,P:70,I:70,D:10,ZO:0.35,FF:30}
07/30/2025 06:32:37.000-06:00,06:32:36.000-06:00,-26.83,-100.00,0.0,0.0109,0,0.0140,0,0.0696,1104,-0.0153,82.7,25.0,23.7,15,0.0000,0,0,Discharging,92,8.19,0.168,False,0.56,1.00,0.649,1281.73,Enabled[1000]: Drive Levels FID Readings,Finished step Battery Serial: passed = True, comment = 4240050613
07/30/2025 06:32:38.000-06:00,06:32:37.000-06:00,-26.83,-100.00,0.0,0.0114,0,0.0135,0,0.0608,1079,-0.0153,79.1,25.0,23.7,15,0.0000,0,0,Discharging,99,8.192,0.171,False,0.56,1.00,0.649,1281.44,Enabled[1000]: Drive Levels FID Readings,Finished step Battery: passed = True, comment = Battery level currently at 99.
07/30/2025 06:32:39.000-06:00,06:32:39.000-06:00,-26.68,-100.00,0.0,0.0114,0,0.0135,0,0.0535,1064,-0.0153,75.9,25.0,23.7,15,0.0000,0,0,Charged,100,8.194,0.169,False,0.56,1.00,0.649,1281.44,Enabled[1000]: Drive Levels FID Readings,Running step Charge
07/30/2025 06:32:40.000-06:00,06:32:39.000-06:00,-26.76,-100.00,0.0,0.0114,0,0.0135,0,0.0473,1019,-0.0153,72.9,25.0,23.7,15,0.0000,0,0,Discharging,99,8.19,0.172,False,0.56,1.00,0.649,1281.58,Enabled[1000]: Drive Levels FID Readings,Finished step Charge: passed = True, comment = 
07/30/2025 06:32:41.000-06:00,06:32:40.000-06:00,-26.78,-100.00,0.0,0.0114,0,0.0135,0,0.0421,1069,-0.0153,70.1,25.0,23.7,15,0.0000,0,0,Discharging,99,8.19,0.168,False,0.56,1.00,0.649,1281.56,Enabled[1000]: Drive Levels FID Readings,Baseline is 0.171, min delta is 0.1
07/30/2025 06:32:42.000-06:00,06:32:41.000-06:00,-26.25,-100.00,0.0,0.0109,0,0.0140,0,0.0379,1194,-0.0153,67.6,25.0,23.7,15,0.0000,1,0,Discharging,99,8.05,0.411,False,0.56,1.00,0.649,1280.86,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:43.000-06:00,06:32:42.000-06:00,-26.35,-100.00,0.0,0.0109,0,0.0135,0,0.0343,1065,-0.0153,65.5,25.0,23.7,15,0.0000,1,0,Discharging,99,8.05,0.411,False,0.56,1.00,0.649,1280.92,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:44.000-06:00,06:32:43.000-06:00,-26.93,-100.00,0.0,0.0109,0,0.0130,0,0.0312,1048,-0.0178,63.8,25.0,23.7,15,0.0000,1,0,Discharging,99,8.05,0.411,False,0.56,1.00,0.649,1280.95,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:45.000-06:00,06:32:44.000-06:00,-27.24,-100.00,0.0,0.0114,0,0.0135,0,0.0286,1024,-0.0153,62.1,25.0,23.7,15,0.0000,0,0,Discharging,99,8.19,0.167,False,0.56,1.00,0.649,1280.92,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:46.000-06:00,06:32:45.000-06:00,-26.94,-100.00,0.0,0.0114,0,0.0135,0,0.0265,977,-0.0153,60.2,25.0,23.7,15,0.0000,0,0,Discharging,99,8.19,0.167,False,0.56,1.00,0.649,1281.24,Enabled[1000]: Drive Levels FID Readings,Finished step Glow Disk: passed = True, comment = 
07/30/2025 06:32:47.000-06:00,06:32:46.000-06:00,-26.55,-100.00,0.0,0.0114,0,0.0135,0,0.0244,1194,-0.0153,58.4,25.0,23.7,15,0.0000,0,0,Discharging,99,8.19,0.170,False,0.56,1.00,0.649,1281.14,Enabled[1000]: Drive Levels FID Readings,Baseline is 0.171, min delta is 0.1
07/30/2025 06:32:48.000-06:00,06:32:47.000-06:00,-26.49,-100.00,0.0,0.0119,0,0.0130,0,0.0234,1013,-0.0178,56.7,25.0,23.8,15,0.5000,0,0,Discharging,99,7.92,0.648,False,0.56,1.00,0.649,1280.61,Enabled[1000]: Drive Levels FID Readings,
07/30/2025 06:32:49.000-06:00,06:32:49.000-06:00,-26.29,-100.00,-5.0,0.0109,0,0.0135,0,0.0197,1050,-0.0153,53.7,25.0,23.8,15,0.0000,0,0,Discharging,99,8.19,0.168,False,0.56,1.00,0.649,1280.65,Enabled[1000]: Drive Levels FID Readings,Finished step Heater: passed = True, comment = 
07/30/2025 06:32:50.000-06:00,06:32:49.000-06:00,-26.78,-100.00,-5.0,0.0109,0,0.0135,0,0.0197,1050,-0.0153,53.7,25.0,23.8,15,0.0000,0,0,Discharging,99,8.19,0.168,False,0.56,1.00,0.649,1280.65,Enabled[1000]: Drive Levels FID Readings,Baseline is 0.171, min delta is 0.05
07/30/2025 06:32:51.000-06:00,06:32:51.000-06:00,-26.80,-100.00,-5.0,0.0125,0,0.0140,0,0.5297,1217,-0.0153,50.7,25.0,23.8,30,0.0000,0,1,Discharging,99,8.19,0.166,False,0.56,1.00,0.649,1279.93,Enabled[1000]: Drive Levels FID Readings,Finished step Solenoid: passed = True, comment = 
07/30/2025 06:32:52.000-06:00,06:32:52.000-06:00,-26.82,-100.00,-5.0,0.0119,0,0.0135,0,0.4046,1059,-0.0153,49.2,25.0,23.8,179,0.0000,0,0,Discharging,99,8.19,0.174,False,0.56,1.00,0.649,1280.27,Enabled[1000]: Drive Levels FID Readings,Finished step Internal Temp: passed = True, comment = Internal Temp currently at 50.7C.
07/30/2025 06:32:53.000-06:00,06:32:53.000-06:00,-26.85,-100.00,-5.0,0.0114,0,0.0135,0,0.3158,1033,-0.0153,47.7,25.0,23.8,179,0.0000,0,0,Discharging,99,8.19,0.169,False,0.56,1.00,0.649,1280.46,Enabled[1000]: Drive Levels FID Readings,Finished step Case Temp: passed = True, comment = Case Temp currently at 23.8C.
07/30/2025 06:32:54.000-06:00,06:32:54.000-06:00,-26.49,-100.00,-5.0,0.0114,0,0.0140,0,0.2514,1072,-0.0153,46.4,25.0,23.8,179,0.0000,0,0,Discharging,99,8.19,0.169,False,0.56,1.00,0.649,1280.46,Enabled[1000]: Drive Levels FID Readings,Finished step HPH2: passed = True, comment = HPH2 currently at 1033.
07/30/2025 06:32:55.000-06:00,06:32:55.000-06:00,-26.41,-100.00,-5.0,0.0119,0,0.0140,0,0.6679,1087,-0.0153,45.1,25.0,23.8,179,0.0000,0,0,Discharging,99,8.00,0.496,False,0.56,1.00,0.649,1280.32,Enabled[1000]: Drive Levels FID Readings,Finished step Turning on Sol and LPH2: passed = True, comment = 
07/30/2025 06:32:56.000-06:00,06:32:56.000-06:00,-26.88,-100.00,-5.0,0.0119,0,0.0135,0,0.6658,1145,-0.0153,43.9,25.0,23.8,138,0.0000,0,1,Discharging,99,8.00,0.489,False,0.56,1.00,0.649,1280.51,Enabled[1000]: Drive Levels FID Readings,Finished step LPH2 Stabilization: passed = True, comment = LPH2 currently at 0.6679.
07/30/2025 06:32:57.000-06:00,06:32:57.000-06:00,-26.47,-100.00,-5.0,0.0125,0,0.0140,0,0.6242,1047,-0.0153,42.7,25.0,23.8,141,0.0000,0,1,Discharging,99,8.12,0.285,False,0.56,1.00,0.649,1280.22,Enabled[1000]: Drive Levels FID Readings,Finished step Turning off LPH2: passed = True, comment = 
07/30/2025 06:32:58.000-06:00,06:32:58.000-06:00,-26.27,-100.00,-5.0,0.2498,7.5,0.0145,0,0.6274,1057,-0.2599,41.6,25.0,23.8,141,0.0000,0,1,Discharging,99,8.10,0.331,False,0.56,1.00,0.649,1280.95,Enabled[1000]: Drive Levels FID Readings,Running step Turning on Sample Pump
